LHC Period;Runs;Duration;Readout;Event Building;;;Recording;;Pause and Reset;
;;;MB;Events;MB;Avg Event Size (KB);MB;# Files;Total;Failed
LHC15f;4;13:12:04;49 579 023;84 712 549;49 546 876;598.9;28 435 747;16 833;0;0
LHC15g;13;21:31:25;246 735 236;79 099 012;239 806 714;3 104.5;166 637 427;97 365;9;1
LHC15h;16;41:51:18;313 319 956;130 071 603;311 739 435;2 454.2;315 166 634;178 143;2;0
LHC15i;45;79:03:01;1 095 438 011;214 846 746;1 014 140 451;4 833.6;1 019 222 804;579 199;19;7
LHC15j;118;123:40:30;3 765 543 962;306 243 920;743 312 671;2 485.4;746 812 830;434 916;93;22
LHC15k;20;19:27:30;656 843 368;65 162 465;118 226 659;1 857.9;118 956 062;68 810;11;5
LHC15l;95;92:01:48;4 084 280 198;352 515 920;798 034 243;2 318.2;801 654 144;461 204;102;22
LHC15n;12;35:16:26;370 531 978;154 323 417;104 811 089;695.5;106 608 401;61 933;2;2
LHC15o;145;154:19:58;9 103 561 426;561 693 057;2 554 246 192;4 656.5;2 561 996 447;1 950 537;165;38
LHC16d;3;09:26:32;80 966 103;26 890 762;80 969 785;3 083.3;81 541 744;45 819;0;0
LHC16e;13;22:18:57;256 653 087;65 243 175;256 662 022;4 028.3;258 026 873;145 211;1;1
LHC16f;15;23:11:41;426 031 463;83 984 389;426 010 043;5 194.2;427 866 086;241 027;5;0
LHC16g;9;27:06:00;219 517 397;56 785 347;219 525 171;3 958.7;220 457 200;124 324;9;0
LHC16h;50;88:53:01;1 438 533 069;204 103 262;1 404 243 175;7 045.2;1 408 459 466;795 106;102;5
LHC16i;14;38:19:12;999 157 997;92 076 755;282 710 270;3 144.1;283 814 578;160 838;67;4
LHC16j;41;69:42:58;1 795 369 662;169 366 147;511 409 141;3 092.0;513 230 119;291 433;146;9
LHC16k;156;519:14:42;5 391 071 969;897 675 202;1 332 849 032;1 520.4;1 163 093 010;662 935;274;22
LHC16l;57;157:35:38;1 866 319 668;298 570 770;394 409 512;1 352.7;322 810 771;184 992;92;7
LHC16m;37;106:35:17;1 279 925 256;206 579 882;267 464 007;1 325.8;220 783 236;126 652;53;8
LHC16o;57;146:37:57;1 608 720 350;265 426 414;333 875 175;1 288.1;275 932 675;160 811;105;17
LHC16p;28;75:49:53;993 399 040;153 837 310;210 595 179;1 401.8;172 846 047;101 024;40;5
LHC16q;26;117:37:36;2 748 488 295;755 253 225;719 329 618;975.3;530 407 718;300 970;135;2
LHC16r;39;34:15:43;1 161 931 722;124 333 724;234 258 534;1 929.3;201 748 919;118 630;61;10
LHC16s;17;16:57:57;525 645 761;62 879 096;106 869 822;1 740.4;91 473 959;54 178;24;3
LHC16t;5;19:09:00;441 281 717;121 022 382;113 529 354;960.6;84 757 635;48 397;23;1
Totals:;1 035;;40 918 845 714;5 532 696 531;12 828 574 170;;12 122 740 532;7 411 287;1 540;191